rank,TeamName,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Houston,B12,30-4,119.21502137751114,15,85.51836435673073,1,0.9785484349472289,1,30.98041432852504,4.019585671474959,15,3,15-3,0.7190974240763031,0.5019298755782786,0.8451317151188308,0.7121743721736097,0.5019298755782786,0.8451317151188308,0.6625503907203967,0.8430599907454628,110.86724946481338,99.56911090282412,110.67026601362302,99.71902743478529,122.81955338258442,89.06552725839379,124.6234694212562,92.64116928317792,0.968030401182834,20,0.005701078009613836,1313.0,1122.0,1167.2125,1.124902277862857,0.9612645512278183,0,0.8333333333333334,10.61851812507249,3,159,63.32828891716757
2,Connecticut,BE,31-3,127.05853355567933,1,93.56030980838028,11,0.9712369432341988,2,31.98390304490203,3.01609695509797,18,2,18-2,0.6732048847732796,0.46140871252876786,0.7577769573503773,0.664137626841271,0.46140871252876786,0.7577769573503773,0.6716203544402146,0.7604630136517169,109.94267627223726,101.40221236508016,109.89452532271535,101.76187174981266,126.2079869921099,94.11798894360946,131.36871081743448,98.24518985025645,0.9658164458185352,18,0.06034271181142836,1565.0,1288.0,1298.1499999999999,1.2055617609675309,0.9921811809112969,0,0.9,11.259723607651,1,60,64.58559127602219
3,Purdue,B10,29-4,126.20571593690602,2,94.72222738870552,18,0.9644319800128816,3,29,4,17,3,17-3,0.7653269371499558,0.6663579173610612,0.8062883463874172,0.7653269371499558,0.6663579173610612,0.8062883463874172,0.6392680176089456,0.6809147149335861,113.07637109777752,99.71371958406796,113.07637109777752,99.71371958406796,129.50398413736292,97.87070321421413,139.15341277887705,107.08986069894694,0.9531110859194968,18,0.06096360776111387,1657.0,1452.0,1364.35,1.2144977461794995,1.0642430461391872,0,0.85,11.019805493509002,2,59,67.59855092630679
4,Iowa St.,B12,27-7,113.64147308617905,51,86.53683082448416,2,0.9582536973339773,4,27.942463183098614,7.057536816901385,13,5,13-5,0.6687533921767191,0.37051965806233533,0.8463469064118637,0.6663194686671342,0.37051965806233533,0.8463469064118637,0.6755729037541616,0.8933643397892547,109.60354653913868,100.49306917850261,109.54510724858324,100.60606948121026,112.23675360393325,87.92387658142589,117.88928576782054,89.7830670340561,0.9581943701847065,17,-0.006250450752553927,1227.0,1156.0,1198.575,1.0237156623490395,0.9644786517322653,0,0.7222222222222222,6.880485504968663,4,185,67.56930474877313
5,Auburn,SEC,27-7,120.66471234645685,10,92.0668347373244,6,0.9573344463443169,5,27.88549554787464,7.114504452125359,13,5,13-5,0.6887651741948568,0.5310151995166461,0.7722529540033942,0.690334403517868,0.5310151995166461,0.7722529540033942,0.7208902414777385,0.8404733493785925,110.79016157231689,101.76086761676244,110.76129420191279,101.7124947322585,120.2183109898418,92.9645235963059,114.23932172854788,91.10716340803528,0.9309888984741361,11,-0.0523184156593588,1485.0,1258.0,1274.2250000000001,1.1654142714198825,0.9872667699974493,0,0.7222222222222222,5.471974709049313,9,291,69.84682711582444
6,Arizona,P12,25-8,121.52187276657517,7,93.60725192113486,12,0.9526347950333286,6,25.963657076754085,8.036342923245915,15,5,15-5,0.725641612329157,0.6713960956243002,0.7488026650853776,0.7169856378300057,0.6713960956243002,0.7488026650853776,0.7072295217191585,0.6814843485317144,110.92261996116417,100.3298053720222,110.75978714012247,100.55392442156023,124.65320865851864,97.14667139650365,141.4811847652012,102.1176080022541,0.9770109097338294,10,-0.06415156922162646,1755.0,1495.0,1478.1125000000004,1.1873250513746414,1.0114250437635834,0,0.75,4.891189247089457,11,312,72.04307102595189
7,Tennessee,SEC,24-8,115.59626264159368,33,91.24736430819152,3,0.9382017205056599,7,24.957291155537035,8.042708844462966,14,4,14-4,0.7265979063391612,0.631466456252993,0.7869380217671718,0.7168164753481338,0.631466456252993,0.7869380217671718,0.6676774089906693,0.6967170630219334,113.15793236809428,101.480982638579,112.66286354686652,101.44086429690348,119.15604222652829,92.14779430447005,129.72542226607263,105.29472226313331,0.9167932118719009,15,0.004189056654653189,1475.0,1263.0,1274.7375,1.1571009717686975,0.9907922219280441,0,0.7777777777777778,5.7564894634006265,8,163,69.21898530868577
8,Marquette,BE,25-9,118.91679233162128,19,94.59658618551217,17,0.9328446640020744,8,25.90479841458644,9.095201585413559,14,6,14-6,0.735262868839562,0.646071713680232,0.7617407856186136,0.7312198170893378,0.646071713680232,0.7617407856186136,0.6359617786023845,0.6848278389579907,112.4410610892437,99.5557088893962,112.2339141065059,99.61914971007953,118.78339240803172,95.73051371775632,126.27870159278774,103.26669206032322,0.9099913821081396,19,0.03486994644043662,1573.0,1425.0,1394.7375000000002,1.1278107887684956,1.0216976312747021,0,0.7,6.506748822291424,6,97,69.06386237529863
9,North Carolina,ACC,27-7,116.79487019060178,26,93.21130112314955,8,0.9304632413048316,9,27,7,17,3,17-3,0.7214522891635563,0.6236826256426973,0.7636793887764493,0.7214522891635563,0.6236826256426973,0.7636793887764493,0.693361467549157,0.7235066225012763,111.3928225162879,100.74096376763895,111.3928225162879,100.74096376763895,115.30345304915681,91.07444139998205,131.92794622834882,100.05996494532491,0.9600590217573358,12,0.035157068967727634,1573.0,1363.0,1415.7250000000001,1.111091490225856,0.9627575976972929,0,0.85,6.557778836689804,5,95,70.36683417415804
10,Creighton,BE,23-9,120.6276248666995,12,96.46530020844875,27,0.9289411535352631,10,23.898873506595738,9.101126493404262,14,6,14-6,0.7058488723815566,0.5935653933721604,0.7621417949352786,0.7024977926960471,0.5935653933721604,0.7621417949352786,0.67359839116953,0.7557024211641269,110.94111190336969,100.35063956314296,110.76188529509092,100.38734616205217,119.829789000065,95.30658150225659,128.39729325091253,103.65679024140132,0.9213987699056981,16,-0.009681976143352311,1574.0,1421.0,1393.225,1.1297529114105762,1.0199357605555457,0,0.7,4.419835564079083,13,199,66.9468258401749
