Seed,Division,Team
FF,East,Howard
FF,East,Wagner
FF,West,Colorado
FF,West,Boise St.
FF,South,Grambling St.
FF,South,Montana St.
FF,Midwest,Colorado St.
FF,Midwest,Virginia
1,South,Houston
2,South,Marquette
3,South,Kentucky
4,South,Duke
5,South,Wisconsin
6,South,Texas Tech
7,South,Florida
8,South,Nebraska
9,South,Texas A&M
11,South,North Carolina St.
12,South,James Madison
13,South,Vermont
14,South,Oakland
15,South,Western Kentucky
16,South,Longwood
1,East,Connecticut
2,East,Iowa St.
3,East,Illinois
4,East,Auburn
5,East,San Diego St.
6,East,BYU
7,East,Washington St.
8,East,Florida Atlantic
9,East,Northwestern
10,East,Drake
11,East,Duquesne
12,East,UAB
13,East,Yale
14,East,Morehead St.
15,East,South Dakota St.
16,East,Stetson
1,Midwest,Purdue
2,Midwest,Tennessee
3,Midwest,Creighton
4,Midwest,Kansas
5,Midwest,Gonzaga
6,Midwest,South Carolina
7,Midwest,Texas
8,Midwest,Utah St.
9,Midwest,TCU
11,Midwest,Oregon
12,Midwest,McNeese St.
13,Midwest,Samford
14,Midwest,Akron
15,Midwest,Saint Peter's
1,West,North Carolina
2,West,Arizona
3,West,Baylor
4,West,Alabama
5,West,Saint Mary's
6,West,Clemson
7,West,Dayton
8,West,Mississippi St.
9,West,Michigan St.
10,West,Nevada
11,West,New Mexico
12,West,Grand Canyon
13,West,College of Charleston
14,West,Colgate
15,West,Long Beach St.
